"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Mar-2024","EQ","230.40","237.90","228.05","227.80","229.00","229.15","232.52","289.25","49.25","40,75,258","94,75,76,435.10","35,869"
"29-Feb-2024","EQ","232.00","235.65","225.65","230.15","226.85","227.80","228.75","289.25","49.25","36,09,539","82,56,88,352.95","33,134"
"28-Feb-2024","EQ","236.00","251.40","228.00","235.60","232.00","230.15","240.96","289.25","49.25","1,19,76,447","2,88,58,48,946.95","1,00,715"
"27-Feb-2024","EQ","244.00","247.25","234.50","243.55","235.00","235.60","240.35","289.25","49.25","39,32,890","94,52,62,726.15","37,368"
"26-Feb-2024","EQ","246.10","251.25","236.60","245.85","242.00","243.55","244.44","289.25","49.25","59,13,775","1,44,55,49,958.70","53,002"
"23-Feb-2024","EQ","255.80","255.80","244.20","253.05","245.50","245.85","247.99","289.25","49.25","58,02,449","1,43,89,24,965.50","51,182"
"22-Feb-2024","EQ","256.80","259.90","242.75","252.20","251.00","253.05","252.22","289.25","49.25","1,04,44,602","2,63,43,77,875.25","84,733"
"21-Feb-2024","EQ","276.00","285.00","248.00","273.20","255.65","252.20","264.64","289.25","49.25","1,43,77,886","3,80,49,70,333.40","1,17,716"
"20-Feb-2024","EQ","286.90","286.90","268.55","286.10","273.90","273.20","274.74","289.25","49.25","1,32,75,282","3,64,72,88,687.40","1,16,603"
"19-Feb-2024","EQ","252.00","289.25","247.80","241.05","287.80","286.10","277.76","289.25","49.25","4,61,70,497","12,82,40,87,659.10","3,26,687"
"16-Feb-2024","EQ","239.70","248.65","231.05","244.40","240.35","241.05","240.29","248.65","49.25","3,53,32,362","8,49,01,77,866.40","2,53,584"
"15-Feb-2024","EQ","205.35","244.70","203.20","203.95","244.70","244.40","231.59","244.70","49.25","6,58,31,941","15,24,58,33,186.90","4,10,285"
"14-Feb-2024","EQ","178.00","209.00","176.75","182.70","204.50","203.95","199.62","209.00","49.25","2,13,64,386","4,26,47,33,091.10","1,53,659"
"13-Feb-2024","EQ","183.95","187.70","179.00","184.95","182.35","182.70","183.01","206.80","49.25","30,48,091","55,78,25,976.60","34,409"
"12-Feb-2024","EQ","188.70","195.15","174.65","189.60","185.25","184.95","185.98","206.80","49.25","91,04,566","1,69,32,42,285.75","97,006"
"09-Feb-2024","EQ","200.85","202.00","176.65","200.85","188.50","189.60","187.39","206.80","49.25","71,16,572","1,33,35,55,144.55","84,453"
"08-Feb-2024","EQ","203.80","206.80","198.50","202.60","201.50","200.85","202.70","206.80","49.25","45,96,283","93,16,71,045.85","47,458"
"07-Feb-2024","EQ","195.40","203.70","195.40","194.10","201.90","202.60","200.31","206.35","49.25","78,60,261","1,57,44,56,473.75","61,606"
"06-Feb-2024","EQ","198.25","198.85","187.85","197.00","195.40","194.10","192.91","206.35","49.25","63,03,984","1,21,61,00,648.85","59,827"
"05-Feb-2024","EQ","193.15","206.35","192.50","191.60","196.50","197.00","200.12","206.35","49.25","1,49,70,646","2,99,59,60,301.85","1,19,808"
"02-Feb-2024","EQ","181.00","198.80","180.00","178.65","191.75","191.60","191.49","198.80","49.25","2,18,39,790","4,18,21,11,013.35","1,48,724"
"01-Feb-2024","EQ","178.40","182.35","176.00","177.05","178.70","178.65","179.08","186.00","49.25","39,64,871","71,00,37,219.10","35,885"
"31-Jan-2024","EQ","179.30","180.70","176.00","179.30","177.45","177.05","177.66","186.00","49.25","18,77,284","33,35,18,364.55","20,911"
